treated	age	educ	black	married	nodegree	dwincl	re74	re75	re78	hisp	early_ra	sample
	42	16	0	1	0		0.0	0.0	100.485405	0		2.0
	20	13	0	0	0		2366.7942	3317.4678	4793.745	0		2.0
	37	12	0	1	0		25862.322	22781.855	25564.67	0		2.0
	48	12	0	1	0		21591.121	20839.355	20550.744	0		2.0
	51	12	0	1	0		21395.193	21575.178	22783.588	0		2.0
	18	11	0	0	1		1310.7495	1455.5322	2157.4807	0		2.0
	52	15	0	1	0		25862.322	25243.549	25564.67	0		2.0
	39	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	44	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		25862.322	25243.549	25427.24	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	45	12	0	1	0		8987.157	10666.742	8096.464	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	8	0	1	1		15973.902	12967.307	0.0	0		2.0
	16	10	0	0	1		881.67004	2391.8708	10747.506	0		2.0
	17	10	0	0	1		466.3055	537.0968	4306.095	0		2.0
	53	12	0	1	0		25862.322	4380.9194	25564.67	0		2.0
	53	12	0	1	0		10233.251	11305.887	16150.074	0		2.0
	53	12	0	1	0		22884.236	24563.227	24081.033	0		2.0
	42	12	0	1	0		0.0	580.0645	0.0	0		2.0
	46	11	0	1	1		25862.322	25243.549	25564.67	0		2.0
	49	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	49	17	0	1	0		25780.033	25243.549	25564.67	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	10	0	1	1		25862.322	22060.355	1536.8357	0		2.0
	49	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	49	12	0	1	0		23999.059	23564.227	25564.67	0		2.0
	41	12	0	1	0		17139.666	18447.484	21143.312	0		2.0
	52	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	12	0	1	0		21389.316	18300.678	15736.311	0		2.0
	44	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	44	12	0	1	0		5999.275	6146.1772	3877.5544	0		2.0
	51	12	0	1	0		25427.365	13549.161	14803.865	0		2.0
	51	9	0	1	1		0.0	0.0	7385.6772	0		2.0
	51	8	0	1	1		0.0	0.0	0.0	0		2.0
	48	6	0	1	1		21553.895	19980.0	2813.5913	1		2.0
	47	12	0	1	0		0.0	5976.0967	4523.321	0		2.0
	47	12	0	1	0		19716.102	25243.549	0.0	0		2.0
	47	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	43	12	0	1	0		23967.71	19331.902	25564.67	0		2.0
	53	16	0	1	0		22143.633	21457.016	21929.463	0		2.0
	50	11	0	1	1		24823.91	20504.564	0.0	0		2.0
	53	12	0	1	0		25862.322	0.0	16463.352	0		2.0
	53	10	0	1	1		0.0	0.0	0.0	0		2.0
	50	12	0	1	0		14379.059	11663.951	8134.885	0		2.0
	46	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	42	12	0	1	0		0.0	3931.5483	14518.664	0		2.0
	46	12	0	1	0		20354.822	24445.064	25564.67	0		2.0
	55	18	0	1	0		25862.322	25243.549	25304.59	0		2.0
	55	18	0	1	0		25862.322	23632.258	25564.67	0		2.0
	46	8	0	1	1		22778.436	25243.549	25564.67	0		2.0
	55	14	0	1	0		0.0	0.0	0.0	0		2.0
	55	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	14	0	1	0		13714.867	23274.193	19321.275	0		2.0
	55	14	0	1	0		8393.499	19036.5	10639.631	0		2.0
	49	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	13	0	1	0		13738.379	13024.597	5989.2256	0		2.0
	55	12	0	1	0		23334.867	23612.564	24834.672	0		2.0
	55	12	0	1	0		25627.209	17298.098	25564.67	0		2.0
	55	12	0	1	0		23262.375	23401.307	0.0	0		2.0
	49	15	0	1	0		25862.322	25243.549	9238.746	0		2.0
	52	16	0	1	0		8961.687	22427.371	24310.08	0		2.0
	49	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	15	0	1	0		0.0	0.0	0.0	0		2.0
	49	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	49	12	0	1	0		0.0	0.0	0.0	0		2.0
	52	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	13	0	1	0		25470.469	25241.758	23429.355	0		2.0
	52	12	0	1	0		16432.371	19664.902	21861.486	0		2.0
	45	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	49	3	0	1	1		5327.2466	8240.8545	13042.415	1		2.0
	40	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	48	18	0	1	0		9651.349	784.1613	17348.51	0		2.0
	48	18	0	1	0		25862.322	25241.758	25564.67	0		2.0
